Density_min-max,density_o_min-max,Altitude_min-max,Kp_min-max,DSTIndex_min-max,Flag(***)_min-max,apindex_min-max,la_min-max,lo_min-max,local_solar_time_min-max,Unnamed: 0,Density,density_o,Altitude,la,lo,local_solar_time,Magnitude of Average Field Vector,ProtonDensity ,Kp,DSTIndex,Flag(***),apindex
0.258375973,6.81E-47,0.300437012,0.036144578,0.792828685,0,0.011173184,0.986823365,2.50E-31,0.831441634,26,6.56E-14,1.25E-13,447720.2079,87.30165877,69.943116,19.95457194,1.5,3.7,3,-10,-1,2
0.256868743,6.21E-47,0.299358571,0.036144578,0.804780876,0,0.011173184,0.99645198,2.38E-31,0.863966434,27,3.85E-14,1.19E-13,447670.0844,87.36268058,58.28442482,20.73515477,2.4,4.1,3,-7,-1,2
0.263626251,6.41E-47,0.302417435,0,0.812749004,0,0,0.988010592,2.27E-31,0.896472739,28,1.60E-13,1.21E-13,447812.2535,87.30918288,46.61907007,21.51529376,1.2,4.2,0,-5,-1,0
0.260678532,7.21E-47,0.302890463,0,0.832669323,0,0,0.975264531,1.74E-31,0.815484976,29,1.07E-13,1.29E-13,447834.2388,87.2284041,-5.77854608,19.5716182,2.7,4.8,0,0,-1,0
0.259688543,7.61E-47,0.301969162,0,0.836653386,0,0,0.993121498,1.62E-31,0.84645671,30,8.92E-14,1.33E-13,447791.4188,87.34157349,-17.99634381,20.31492806,2.5,4.9,0,1,-1,0
0.26051168,8.61E-47,0.301341961,0,0.824701195,0,0,0.994145067,1.50E-31,0.87896776,31,1.04E-13,1.43E-13,447762.2679,87.34806041,-29.65999781,21.0951809,2.1,4.9,0,-2,-1,0
0.262291435,6.61E-47,0.301758829,0.120481928,0.824701195,0,0.022346369,0.977790319,1.38E-31,0.910510599,32,1.36E-13,1.23E-13,447781.643,87.2444114,-41.6722028,21.85219705,2.1,4.8,10,-2,-1,4
0.260622914,7.51E-47,0.302170559,0.120481928,0.812749004,0,0.022346369,0.986678192,8.59E-32,0.82946394,33,1.06E-13,1.32E-13,447800.7793,87.30073873,-94.09102602,19.90710803,1.7,4.4,10,-5,-1,4
0.261012236,8.81E-47,0.303026515,0,0.804780876,0,0,0.996554652,7.43E-32,0.862009204,34,1.13E-13,1.45E-13,447840.5622,87.36333127,-105.7423678,20.68818199,2.4,4.1,0,-7,-1,0
0.258153504,8.01E-47,0.302960124,0,0.800796813,0,0,0.988168786,6.27E-32,0.894702517,35,6.16E-14,1.37E-13,447837.4765,87.31018544,-117.3404172,21.4728091,2.4,4,0,-8,-1,0
0.2621802,7.81E-47,0.301570128,0,0.804780876,0,0,0.975459302,1.02E-32,0.813690353,36,1.34E-13,1.35E-13,447772.8726,87.22963847,-169.7468368,19.52854792,2.3,4,0,-7,-1,0
0.262291435,7.21E-47,0.303854423,0,0.824701195,0,0,0.993383631,3.58E-31,0.845024451,37,1.36E-13,1.29E-13,447879.0415,87.34323477,178.1657783,20.28055438,2.7,4.2,0,-2,-1,0
0.259432703,6.61E-47,0.305162589,0.036144578,0.844621514,0,0.011173184,0.994078412,3.47E-31,0.877543366,38,8.46E-14,1.23E-13,447939.8421,87.34763798,166.5049198,21.06099598,2.4,4.8,3,3,-1,2
